"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas19"	"Brevundimonas"	"Hymenobacter2"	"Duganella2"	"Rhizobium3"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"
"23"	66	85	1	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"24"	41	91	0	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25"	10	157	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"26"	18	14	0	0	0	0	0	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	7	89	0	39	3	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"28"	147	14	1	0	10	2	0	0	0	0	14	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
"29"	44	167	0	1	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	140	28	0	5	21	6	4	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0
"31"	11	71	0	3	16	0	8	0	0	2	13	4	6	0	0	17	5	0	1	0	0	0	0	0	25	0	0	0	0	0	0	5	32	0	0	3	0	0	0	8	15	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0
"32"	54	177	0	1	2	0	0	0	0	0	1	0	14	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
"33"	10	239	0	2	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"34"	29	28	6	19	0	0	4	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	14	0	0	6	0	0	0
"35"	97	69	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
