samples,plot_num,sub_plot_tx,sp_id,plot_cond,sp_cond,sp,tx_full,leaf_pos,sample_type,sample_mass,DmgB,DmgC,DmgM,DmgS,herb_dmg,n_dmg_types,LeafCFU,logLeafCFU,morphotypes,stem_tx
EL12_223,40,TX,40_TX,JA,JA,D1,JATX,14,Whole Leaf,0.01673,y,n,n,n,1,1,NA,NA,NA,JATX
EL12_010,2,TX,2_TX,JA,JA,B1,JATX,6,2_frag,NA,n,NA,NA,NA,0,0,1317.204301,3.11965314,3,JATX
EL12_195,24,C,24_C,SA,MOCK,B1,SAC,13,Whole Leaf,0.02116,y,y,n,y,1,3,NA,NA,NA,MC
EL12_233,24,TX,24_TX,SA,SA,C1,SATX,13,Whole Leaf,0.02239,y,n,n,n,1,1,NA,NA,NA,SATX
EL12_230,40,C,40_C,JA,MOCK,D1,JAC,13,Whole Leaf,0.03642,y,n,n,n,1,1,NA,NA,NA,MC
EL12_011,2,C,2_C,JA,MOCK,D1,JAC,11,2,NA,n,NA,NA,NA,0,0,28082.01732,4.448428303,1,MC
EL12_085,10,TX,10_TX,M,MOCK,D1,MTX,12,2,0.04837,y,n,n,n,1,1,NA,NA,4,MC
EL12_237,40,C,40_C,JA,MOCK,B1,JAC,11,Half Leaf,0.06327,n,n,n,n,0,0,63917.87659,4.805622339,5,MC
EL12_052,26,C,26_C,JA,MOCK,C1,JAC,8,1Frag,0.03582,y,n,n,y,1,2,8626760.563,6.935847744,1,MC
EL12_041,31,C,31_C,SA,MOCK,C1,SAC,11,2,0.04253,n,n,n,n,0,0,1833.832335,3.263359626,2,MC
EL12_229,39,TX,39_TX,JA,JA,C1,JATX,12,Whole Leaf,0.06225,y,n,n,y,1,2,NA,NA,NA,JATX
EL12_222,18,C,18_C,M,MOCK,B1,MC,10,Half Leaf,0.03321,y,n,n,n,1,1,36795.99499,4.565800551,4,MC
EL12_150,9,TX,9_TX,SA,SA,A1,SATX,13,Half Leaf,0.04364,n,n,n,n,0,0,4275.397337,3.630976482,1,SATX
EL12_099,11,TX,11_TX,M,MOCK,C1,MTX,11,Whole Leaf,0.03529,y,n,n,n,1,1,NA,NA,NA,MC
EL12_091,9,C,9_C,SA,MOCK,A1,SAC,5,2,0.03317,n,n,n,n,0,0,85566.92658,4.932305933,3,MC
EL12_125,16,C,16_C,JA,MOCK,C1,JAC,5,2,0.04107,y,n,n,y,1,2,30625,4.486076097,2,MC
EL12_136,12,TX,12_TX,SA,SA,D1,SATX,5,2,0.04913,y,n,n,y,1,2,7777.029627,3.890813753,5,SATX
