"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas26"	"Brevundimonas"	"Hymenobacter3"	"Duganella2"	"Rhizobium3"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"
"46"	2164	95	0	0	396	157	0	72	0	241	0	75	0	0	0	0	0	0	0	0	0	0	649	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	13	0	0	0	0	3	0	0	0	12	1	0	0	0	0	16	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0
"47"	15	0	0	0	0	0	0	0	0	0	0	7	12	0	0	5	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	2	0	0	0	0
"48"	384	44	0	0	3	3	1	124	0	4	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	1	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
"49"	1	3	0	0	559	2	238	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0
"50"	1262	348	0	0	1036	59	1129	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	5	0	0	0	0	11	0	6	12	37	1	0	0	2	0	0	0	4	0	20	0	0	0	0	0	0	0	0	0	0	0	21
"51"	7	10	0	0	1	1	15	11	0	4	6	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"52"	223	6	0	0	0	62	24	1	0	0	171	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	3	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
"53"	216	28	0	0	51	45	0	0	0	110	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"54"	29	12	0	0	475	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"55"	56	10	0	0	0	12	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"56"	1638	3661	0	0	1	222	100	0	0	9	13	27	0	0	0	0	0	0	0	0	0	2	15	7	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	17	0	3	0	0	28	0	161	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
"57"	371	232	0	0	96	193	0	0	0	0	879	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	4	0	0	12	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
"58"	139	2	0	1	143	1	0	1	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	176	117	1	0	0	1
"59"	21	60	0	0	1	0	0	0	0	0	0	1378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"60"	52	124	0	0	49	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	0	2	0	0	0
"61"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0
"62"	2121	48	0	0	17	1286	33	7	0	0	0	13	4	0	0	0	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	58	0	4	0	0	0	2	0	0	547	0	0	0	0	0	0	0	0	0	0	0	68	0	0	3	0	0	0	0
"63"	200	75	0	0	11	23	1	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	2
"64"	6198	1401	0	0	7	2363	1	230	0	0	0	82	2	0	2	0	10	0	0	0	0	0	0	0	0	0	4	0	20	2	0	20	0	0	0	0	0	3	0	0	0	38	24	50	0	0	5	0	47	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0	18	0	4
"65"	6792	59	0	1	0	9	0	92	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	3	3	0	0	0	0	0	0	0	0	1	0	0
"66"	2657	4004	0	0	93	19	622	2	0	11	27	5	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	49	0	38	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
"67"	426	1	0	0	18	16	0	39	0	1	1	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	43	0	0	15
"68"	3503	428	0	1	24	73	4912	143	0	11	103	479	30	0	0	0	27	0	0	0	0	3	0	0	0	0	3	0	2	4	2	21	0	0	0	2	0	0	0	0	0	32	4	76	0	60	0	0	32	0	2	2	1	0	1	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0
"69"	2999	84	0	0	154	4594	1870	3064	1	0	0	9	27	0	2	0	25	0	0	0	0	0	0	0	0	1	2	0	56	4	0	1	0	0	0	0	0	0	1	0	0	0	0	22	0	19	0	0	1	6	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	1
"70"	693	25	0	0	0	53	0	0	0	0	49	62	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2
"71"	159	10	0	1	102	185	79	7	0	34	0	12	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7
"72"	733	1559	0	0	124	174	325	0	0	0	5	6	13	0	0	0	573	0	0	0	0	0	0	0	0	0	0	0	0	0	1	74	0	0	4	0	0	0	0	0	0	0	0	3	0	4	0	15	24	0	35	0	14	6	0	0	0	21	0	0	0	7	10	0	0	0	0	2	0	7
"73"	2902	210	0	0	11	126	950	27	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	3	0	0	0	0	0	0	2	0	0	26	0	5	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	12	0	0	11
"74"	268	2099	0	11	0	60	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	8
"75"	65	297	0	0	0	6	16	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	6	0	2	0	0	6
"76"	76	414	0	0	4318	3	11	0	0	2	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	110	0	0	0	0	0	0	0	3	0	2	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"77"	0	1	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
"78"	88	8253	0	0	21	1	21	0	0	0	127	3	2	0	0	0	27	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	1	0	0	0	0	3	0	4	0	0	42	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"79"	1821	162	0	0	0	473	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	32
"80"	863	7704	0	1	6	6	28	33	0	0	42	72	39	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	6	0	0	0	0	2	0	1	1	0	0	0	0	21	0	0	81	4	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
"81"	68	3301	0	0	32	1004	146	0	0	0	140	153	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	2	0	5	0	3	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
