"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas26"	"Brevundimonas"	"Hymenobacter3"	"Duganella2"	"Rhizobium2"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"
"33"	65	297	0	0	0	6	16	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	6	0	2	0	0	6
"34"	0	1	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
"35"	88	8253	0	0	21	1	21	0	0	0	127	2	3	0	0	0	27	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	1	0	0	0	0	3	0	4	0	0	42	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"36"	1821	162	0	0	0	473	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	32
"37"	863	7704	0	1	6	6	28	33	0	0	42	72	39	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	6	0	0	0	0	2	0	1	1	0	0	0	0	21	0	0	81	4	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
"38"	68	3301	0	0	32	1004	146	0	0	0	140	153	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	2	0	5	0	3	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"39"	149	658	0	0	1088	60	625	0	0	43	11	2	0	0	0	0	156	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	2	0	15	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"40"	510	8	0	1	0	631	4	0	0	0	1	26	5	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"41"	52	13	0	0	422	57	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	29
"42"	619	62	0	0	0	1	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	23	0	30	10	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	17	0	5	10	0	0	0	2	0	0	0	0	0	0	0	34	0	0	0	3	0	0	3
"43"	203	135	0	1	16	0	2	0	0	1655	0	32	38	0	0	5	0	0	0	0	0	0	7	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"44"	6	266	0	0	29	763	1	8	0	0	1	97	0	1	0	0	2	0	0	0	0	0	95	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2
"45"	4968	1748	0	0	6	4	390	32	0	0	275	89	7	0	23	0	2	0	0	0	0	0	0	3	19	0	292	2	16	111	5	20	0	0	453	1	84	211	0	0	0	0	6	28	0	11	0	0	22	2	0	0	69	0	14	0	50	1	0	0	7	0	0	327	0	0	0	16	0	0
"46"	8	6	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"47"	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5
"48"	2168	5119	0	0	400	953	117	0	0	0	40	5	51	0	0	0	356	0	0	0	0	0	11	0	0	0	0	0	0	2	0	6	0	0	0	33	0	0	6	0	0	0	2	68	0	7	0	0	91	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	24	0	3
"49"	5768	1412	0	1	292	250	214	10	461	2	17	16	106	0	0	0	99	0	0	0	0	0	0	3	0	0	0	4	8	0	0	14	0	0	0	28	0	13	0	4	0	0	6	60	0	11	0	0	20	2	4	0	0	0	1	4	6	0	0	0	0	6	5	0	0	0	0	23	0	0
"50"	3360	5318	0	0	14	87	67	54	0	0	8	12	9	0	0	0	1	1	0	0	0	0	0	0	0	0	27	2	44	0	23	5	0	0	1	1	3	13	0	0	0	1	1	73	0	1	0	0	33	0	28	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	39	6	0
"51"	3786	3418	0	1	223	0	93	29	0	8	0	131	14	0	0	0	19	0	0	0	0	0	0	0	0	0	6	2	9	16	5	7	0	0	0	18	0	18	0	0	0	0	6	39	1	4	0	2	21	0	0	0	5	0	1	0	0	2	0	0	1	0	0	9	0	0	0	26	0	1
"52"	7572	31	0	0	65	342	21	2	0	0	2	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	41	3	0	0	0	0	0	0	0	1	0	0	0	3	12	0	0	1	1	2	0	16	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0
"53"	4339	217	0	0	72	1806	7	5	0	22	1	235	2034	0	0	0	3	0	0	1	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"54"	5695	403	0	18	171	72	1834	33	0	6	0	247	269	0	22	0	587	0	0	0	0	0	0	0	0	0	0	26	16	2	0	2	0	0	0	10	0	0	0	0	0	6	225	72	2	38	0	0	19	16	56	0	6	0	0	6	43	0	0	0	0	1	2	3	0	0	0	7	0	0
"55"	38	480	0	0	61	2	39	0	1	2	1	1	0	0	0	0	6	0	0	0	0	0	20	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	0	4	6	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
"56"	3739	4730	0	5	8	58	299	0	0	104	0	88	729	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	145	0	36	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	62	0	0
"57"	1315	48	0	5	461	571	3779	0	0	0	183	5	17	0	1975	0	10	0	0	0	0	0	0	0	0	0	0	2	15	26	0	1	0	0	0	0	0	0	3	0	0	0	0	11	0	15	59	2	1	0	0	148	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	7
"58"	1379	2590	0	2	16	78	1185	22	0	149	1	70	2075	0	51	0	3	32	0	0	0	0	0	2	1	0	0	656	1	3	0	16	0	0	277	1	1	21	1	98	0	0	14	25	0	26	0	0	46	1	3	0	5	0	3	0	99	0	10	450	0	0	1	21	0	0	0	10	3	0
"59"	0	1	0	0	0	0	0	0	0	0	0	512	677	0	4	0	0	0	1	0	0	0	12	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"60"	6855	23	0	1	0	7	112	1728	5	0	37	17	17	1	415	0	0	1	0	0	0	0	0	0	0	0	2	0	47	0	9	3	1	0	0	0	1	6	0	0	0	0	0	3	0	0	0	0	0	0	502	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
"61"	264	1729	0	0	3231	197	90	0	3	0	55	47	11	0	0	0	4	12	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	3	0	1	5	0	4	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	15
