"samples"	"is.in_sample_prep_sheet"	"ROW_TOTALS"	"total"	"contam"	"prop_c"	"PlotNum"	"PlotCond"	"SubPlot"	"LeafPos"	"sample_mass"	"herb.dmg"	"LeafCFU"	"logLeafCFU"	"stem.tx"	"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas26"	"Brevundimonas"	"Hymenobacter3"	"Duganella2"	"Rhizobium3"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"	"ROW_TOTALS_1perc"
"31"	"EL12_195"	1	10139	11772	1633	0.13020252	24	"SA"	"B1"	13	0.02116	1	NA	NA	"MC"	5703	713	0	0	63	225	1149	206	1	0	5	111	5	1	1	0	169	40	0	0	0	0	0	0	0	0	3	0	160	7	316	25	0	0	0	1	0	5	0	0	0	1	0	34	0	23	3	3	22	0	22	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	20	5	0	9048
"32"	"EL12_233"	1	7851	8263	412	0.045125958	24	"SA"	"C1"	13	0.02239	1	NA	NA	"SATX"	2096	1982	0	0	0	157	473	1	0	0	2765	31	43	0	0	1	11	0	0	0	0	0	0	0	0	0	0	1	0	11	1	30	0	0	0	0	0	0	0	0	0	0	0	51	0	10	0	0	77	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	7751
"33"	"EL12_230"	1	3161	5826	2665	0.442838152	40	"JA"	"D1"	13	0.03642	1	NA	NA	"MC"	99	124	0	0	37	0	6	2	0	0	0	1	0	0	2834	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	31	0	0	0	0	3155
"34"	"EL12_011"	0	516	12194	11678	0.958	2	"JA"	"D1"	11	NA	0	28082.01732	4.448428303	"MC"	21	451	0	0	7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	498
"35"	"EL12_085"	1	33	23643	23610	0.998224252	10	"M"	"D1"	12	0.04837	1	NA	NA	"MC"	8	7	0	0	3	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
"36"	"EL12_237"	1	1162	5311	4149	0.781	40	"JA"	"B1"	11	0.06327	0	63917.87659	4.805622339	"MC"	184	228	0	0	10	416	56	0	0	0	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969
"37"	"EL12_052"	1	5707	5743	36	0.006	26	"JA"	"C1"	8	0.03582	1	8626760.563	6.935847744	"MC"	66	5607	0	0	6	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5707
"38"	"EL12_041"	1	1213	6161	4948	0.803	31	"SA"	"C1"	11	0.04253	0	1833.832335	3.263359626	"MC"	191	159	0	0	36	0	0	68	0	0	4	35	3	0	0	0	0	0	0	0	0	0	114	0	0	0	11	0	132	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	354	1	0	0	1178
"39"	"EL12_229"	1	5559	7176	1617	0.213662791	39	"JA"	"C1"	12	0.06225	1	NA	NA	"JATX"	1721	2326	0	0	44	852	324	13	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	4	0	0	0	4	0	0	2	0	0	0	0	24	0	17	0	1	47	0	0	0	3	1	0	0	0	0	0	0	4	0	3	0	1	4	0	5	0	0	5419
"40"	"EL12_222"	1	645	6267	5622	0.897	18	"M"	"B1"	10	0.03321	1	36795.99499	4.565800551	"MC"	6	0	0	0	12	534	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	595
