plot	region	condition	tx	subplot	txfull	stem.num	height	n.leaves	n.mines	n.mined.leaves	n.fruits
5	A	SA	MOCK	5_A	SA_MOCK	B3	32	7	6	6	7
5	A	SA	MOCK	5_A	SA_MOCK	B4	28	5	4	4	7
5	A	SA	MOCK	5_A	SA_MOCK	C1	33	7	6	6	10
5	A	SA	MOCK	5_A	SA_MOCK	C2	32	9	6	6	11
5	A	SA	MOCK	5_A	SA_MOCK	C3	29	7	6	6	6
5	A	SA	MOCK	5_A	SA_MOCK	C4	30	9	6	6	7
5	A	SA	MOCK	5_A	SA_MOCK	D1	33	8	4	4	6
5	A	SA	MOCK	5_A	SA_MOCK	D2	25	9	4	4	0
5	A	SA	MOCK	5_A	SA_MOCK	D3	29	7	5	5	5
5	A	SA	MOCK	5_A	SA_MOCK	D4	29	9	8	8	2
6	A	JA	TX	6_B	JA_TX	A1	18	11	1	1	0
6	A	JA	TX	6_B	JA_TX	A2	16	10	1	1	0
6	A	JA	TX	6_B	JA_TX	A3	24	11	0	0	0
6	A	JA	TX	6_B	JA_TX	A4	25	13	1	1	7
6	A	JA	TX	6_B	JA_TX	B1	27	10	1	1	8
6	A	JA	TX	6_B	JA_TX	B2	29	13	2	2	3
6	A	JA	TX	6_B	JA_TX	B3	25	7	0	0	9
6	A	JA	TX	6_B	JA_TX	B4	24	8	4	4	13
6	A	JA	TX	6_B	JA_TX	C1	22	12	3	3	5
6	A	JA	TX	6_B	JA_TX	C2	24	11	2	2	8
6	A	JA	TX	6_B	JA_TX	C3	19	11	3	3	1
6	A	JA	TX	6_B	JA_TX	C4	29	11	3	3	11
6	A	JA	TX	6_B	JA_TX	D1	24	8	6	3	4
6	A	JA	TX	6_B	JA_TX	D2	22	10	3	2	0
6	A	JA	TX	6_B	JA_TX	D3	18	6	3	3	1
6	A	JA	TX	6_B	JA_TX	D4	16	10	2	2	0
6	A	JA	MOCK	6_A	JA_MOCK	A1	28	8	1	1	1
6	A	JA	MOCK	6_A	JA_MOCK	A2	27	5	4	4	11
6	A	JA	MOCK	6_A	JA_MOCK	A3	19	11	0	0	0
6	A	JA	MOCK	6_A	JA_MOCK	A4	35	16	5	5	3
6	A	JA	MOCK	6_A	JA_MOCK	B1	27	11	3	3	0
6	A	JA	MOCK	6_A	JA_MOCK	B2	17	7	2	2	0
6	A	JA	MOCK	6_A	JA_MOCK	B3	34	7	1	1	13
6	A	JA	MOCK	6_A	JA_MOCK	B4	22	14	4	3	0
6	A	JA	MOCK	6_A	JA_MOCK	C1	19	8	6	5	0
6	A	JA	MOCK	6_A	JA_MOCK	C2	36	13	6	5	20
6	A	JA	MOCK	6_A	JA_MOCK	C3	25	10	6	6	0
6	A	JA	MOCK	6_A	JA_MOCK	C4	25	10	3	3	0
6	A	JA	MOCK	6_A	JA_MOCK	D1	17	4	4	4	0
6	A	JA	MOCK	6_A	JA_MOCK	D2	37	13	6	5	10
6	A	JA	MOCK	6_A	JA_MOCK	D3	20	10	2	2	0
6	A	JA	MOCK	6_A	JA_MOCK	D4	31	15	4	4	1
7	A	JA	TX	7_B	JA_TX	A1	40	7	2	2	1
7	A	JA	TX	7_B	JA_TX	A2	35	12	1	1	0
7	A	JA	TX	7_B	JA_TX	A3	46	8	2	2	5
7	A	JA	TX	7_B	JA_TX	A4	39	8	5	5	6
7	A	JA	TX	7_B	JA_TX	B1	40	9	1	1	0
7	A	JA	TX	7_B	JA_TX	B2	39	8	1	1	3
7	A	JA	TX	7_B	JA_TX	B3	45	9	4	4	6
7	A	JA	TX	7_B	JA_TX	B4	43	6	3	3	3
7	A	JA	TX	7_B	JA_TX	C1	42	6	2	2	0
7	A	JA	TX	7_B	JA_TX	C2	40	7	2	2	0
7	A	JA	TX	7_B	JA_TX	C3	36	11	1	1	1
7	A	JA	TX	7_B	JA_TX	C4	45	8	2	1	5
7	A	JA	TX	7_B	JA_TX	D1	40	11	0	0	1
7	A	JA	TX	7_B	JA_TX	D2	42	10	3	3	1
7	A	JA	TX	7_B	JA_TX	D3	42	10	0	0	3
7	A	JA	TX	7_B	JA_TX	D4	28	7	3	3	0
7	A	JA	MOCK	7_A	JA_MOCK	A1	45	7	1	1	6
7	A	JA	MOCK	7_A	JA_MOCK	A2	40	13	2	1	0
7	A	JA	MOCK	7_A	JA_MOCK	A3	43	14	2	2	0
7	A	JA	MOCK	7_A	JA_MOCK	A4	43	10	2	2	0
7	A	JA	MOCK	7_A	JA_MOCK	B1	32	10	3	3	0
7	A	JA	MOCK	7_A	JA_MOCK	B2	23	8	5	4	0
7	A	JA	MOCK	7_A	JA_MOCK	B3	48	9	3	3	7
7	A	JA	MOCK	7_A	JA_MOCK	B4	47	9	4	3	8
7	A	JA	MOCK	7_A	JA_MOCK	C1	30	11	4	4	0
7	A	JA	MOCK	7_A	JA_MOCK	C2	36	7	3	2	0
7	A	JA	MOCK	7_A	JA_MOCK	C3	39	7	6	5	5
7	A	JA	MOCK	7_A	JA_MOCK	C4	43	8	3	2	9
