

This is RAxML version 7.7.6 released by Alexandros Stamatakis on August 29 2013.

With greatly appreciated code contributions by:
Andre Aberer (HITS)
Simon Berger (HITS)
Nick Pattengale (Sandia)
Wayne Pfeiffer (SDSC)
Akifumi S. Tanabe (NRIFS)


Alignment has 178 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 3.07%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 1000 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
ML estimate of 25 per site rate categories

Likelihood of final tree will be evaluated and optimized under GAMMA

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 178
Name: No Name Provided
DataType: DNA
Substitution Matrix: GTR




RAxML was called as follows:

raxmlHPC-PTHREADS-SSE3 -s node_reps_aln.filter.phy -n node_reps_aln.filter.out -m GTRCAT -f a -x 123 -N autoMRE -p 456 -T 2 



Time for BS model parameter optimization 3.507031
Bootstrap[160]: Time 11.625976 seconds, bootstrap likelihood -4479.987396, best rearrangement setting 13
Bootstrap[161]: Time 10.671849 seconds, bootstrap likelihood -4296.644160, best rearrangement setting 8
Bootstrap[162]: Time 11.796127 seconds, bootstrap likelihood -4108.857064, best rearrangement setting 11
Bootstrap[163]: Time 10.496894 seconds, bootstrap likelihood -4805.875426, best rearrangement setting 6
Bootstrap[164]: Time 11.784404 seconds, bootstrap likelihood -4340.811438, best rearrangement setting 12
Bootstrap[165]: Time 12.491579 seconds, bootstrap likelihood -4070.374916, best rearrangement setting 12
Bootstrap[166]: Time 8.724754 seconds, bootstrap likelihood -4692.422261, best rearrangement setting 6
Bootstrap[167]: Time 11.591536 seconds, bootstrap likelihood -4671.554371, best rearrangement setting 14
Bootstrap[168]: Time 10.126504 seconds, bootstrap likelihood -4745.614906, best rearrangement setting 7
Bootstrap[169]: Time 11.212118 seconds, bootstrap likelihood -4299.771132, best rearrangement setting 9
Bootstrap[170]: Time 9.692225 seconds, bootstrap likelihood -4852.910492, best rearrangement setting 7
Bootstrap[171]: Time 10.847206 seconds, bootstrap likelihood -4686.900200, best rearrangement setting 8
Bootstrap[172]: Time 11.359963 seconds, bootstrap likelihood -4703.137890, best rearrangement setting 11
Bootstrap[173]: Time 12.567048 seconds, bootstrap likelihood -5139.714734, best rearrangement setting 9
Bootstrap[174]: Time 9.733161 seconds, bootstrap likelihood -4484.469474, best rearrangement setting 6
Bootstrap[175]: Time 12.206279 seconds, bootstrap likelihood -4798.872201, best rearrangement setting 12
Bootstrap[176]: Time 8.517125 seconds, bootstrap likelihood -4038.794543, best rearrangement setting 5
Bootstrap[177]: Time 11.543436 seconds, bootstrap likelihood -4844.159602, best rearrangement setting 11
Bootstrap[178]: Time 9.094743 seconds, bootstrap likelihood -4090.870436, best rearrangement setting 5
